"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-27","77","94","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-28","80","97","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-29","80","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-30","77","85","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-01","62","69","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-02","58","68","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-03","59","66","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-04","57","65","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-05","59","69","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-06","61","71","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-07","62","76","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-08","64","76","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-09","63","75","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-10","63","76","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-11","64","79","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-12","70","86","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-13","77","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-14","82","99","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-15","83","97","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-16","80","95","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-17","82","97","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-18","82","97","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-19","80","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-20","78","92","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-21","78","94","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-22","82","97","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-23","80","90","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-24","69","82","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-25","68","82","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-26","68","81","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-27","72","86","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-28","74","85","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-29","71","84","61"
